date,title,speaker,audio,youtube,transcript,html
2021-01-24,Hineni,,2021-01-24.mp3,_rY8plEOvsQ,,
2021-01-17,Our Better Angels,,2021-01-17.mp3,suGWJKt4ihY,,
2021-01-10,What To Tell the Children,,2021-01-10.mp3,YyZ9p_mbzX0,,
2021-01-03,A New Word for a New Year,,2021-01-03.mp3,xYy0t_Mpri8,,
2020-12-05,Thirty-first,,2020-12-05.mp3,bRoIlAuDrGo,,
2020-11-22,Thirtieth,,,Yzba3bJ1MRI,,
2020-11-08,Twenty-ninth,,,Zkq8mgyjHgg,,
2020-11-01,Twenty-eighth,,,pg5L3IFgklU,,
2020-10-18,Twenty-seventh,,2020-10-18.mp3,GRNZElX4CbM,,
2020-10-11,Twenty-sixth,,2020-10-11.mp3,vsb-v0iFSrY,,
2020-10-04,Twenty-fifth,,2020-10-04.mp3,xVxPrJyyF5Y,,
2020-09-27,Twenty-fourth,,2020-09-27.mp3,gN2sAsFPSYM,,
2020-09-20,Twenty-third,,2020-09-20.mp3,_TM_ftMfqkA,,
2020-09-13,Twenty-second,,2020-09-13.mp3,gGUs1taNHQc,,
2020-08-23,Twenty-first,,2020-08-23.mp3,on3gaDm4caY,,
2020-08-16,Twentieth,,2020-08-16.mp3,hIj9NhJnALM,,
2020-08-02,Nineteenth,,2020-08-02.mp3,7aOwjjxsIAU,,
2020-07-22,Second virtual church service,,,5iUmhbi0qpo,,
2020-07-19,Eighteenth,,2020-07-19.mp3,2gUNWrTz32E,,
2020-07-15,FPCoG’s first virtual church service,,,2G9PFEI480w,,
2020-07-12,Seventeenth,,2020-07-12.mp3,R-wCHHe2WSI,,
2020-07-05,Sixteenth,,2020-07-05.mp3,eaAqEwv-EzY,,
2020-06-21,Fifteenth,,2020-06-21.mp3,1ZODCbD-faA,,
2020-06-14,Fourteenth,,2020-06-14.mp3,Bg-g6QQOVkQ,,
2020-06-07,Thirteenth (Alison Chase),,2020-06-07.mp3,xZAO6xgVtqo,,
2020-05-31,Twelfth,,2020-05-31.mp3,jax4DypNKkc,,
2020-05-24,Eleventh,,2020-05-24.mp3,H4IwKKOU87g,,
2020-05-17,Tenth,,2020-05-17.mp3,60PgCF2tBok,,
2020-05-10,Ninth,,2020-05-10.mp3,8at_WdDOVl4,,
2020-05-03,Eighth,,2020-05-03.mp3,2Fz8r2gKzkE,,
2020-04-26,Seventh,,2020-04-26.mp3,L6ih9lZvLBg,,
2020-04-19,Sixth: Three Ministers Walk Into a Deli,,2020-04-19.mp3,dhJZk2k0UTc,,
2020-04-12,Fifth virtual church service,,2020-04-12.mp3,oIAs2MWEueU,,
2020-04-05,Fourth virtual church service,,2020-04-05.mp3,oFwgWwPfJ5E,,
2020-03-29,Third virtual church service,,2020-03-29.mp3,rrMGVi5EzbQ,,
2020-03-08,Mend and Repair (Rev. Mary Margaret Earl),,2020-03-08.mp3,,,
2020-03-01,Five Things Not to Believe,,2020-03-01.mp3,,,
2020-02-23,Feed Your Enemy’s Children; Learn Their Word for Home,,2020-02-23.mp3,,,
2020-02-16,Be Generous in Your Dreaming,,2020-02-16.mp3,,,
2020-02-09,"Blessed Are the Forgotten, the Unrepresented, and the Kind",,2020-02-09.mp3,,,
2020-02-02,Patience Is More Than A Virtue (Nancy Baker),,2020-02-02.mp3,,,
2020-01-26,The Place Where I Stand,,2020-01-26.mp3,,,
2020-01-19,Braver Together,,2020-01-19.mp3,,,
2020-01-12,To Hope Is to Give Yourself to the Future,,2020-01-12.mp3,,,
2020-01-05,Beautiful in the Inches,,2020-01-05.mp3,,,
2019-12-24,,,,,,"A Pinhole of Light (<a href=""https://legacy.uugroton.org/Sermons/apinholeoflight.html"">transcript</a>) <br/>(<a href=""https://themoth.org/stories/a-phone-call"">Autumn Sandrom’s Moth story</a>)"
2019-12-15,"In Defiance, In Hope, In Delight, In Gladness",,2019-12-15.mp3,,,
2019-12-08,"Refections on a Superhero Peace Candle (Eric Elbot) ; Undone and Imperfect, Alive and Filled with Grace (Rev. Kemler)",,2019-12-08-elbot.mp3;2019-12-08.mp3,,,
2019-11-17,"Vulnerability is the Path, Courage is the Light",,2019-11-17.mp3,,,
2019-11-10,The Way of The Heart (Marisa Benson),,2019-11-10.mp3,,,
2019-10-20,These Fleeting Temples We Make Together,,2019-10-20.mp3,,,
2019-10-13,On Behalf of Life,,2019-10-13.mp3,,https://legacy.uugroton.org/Sermons/onbehalfoflife.html,
2019-10-06,"Start Over, Always Start Over",,2019-10-06.mp3,,,
2019-09-29,"In This Autumn Light, There Is a Path for Beginning Again",,2019-09-29.mp3,,,
2019-09-22,The Thread That Runs Between Us,,2019-09-22.mp3,,https://legacy.uugroton.org/Sermons/thethreadthatrunsbetweenus.html,
2019-09-15,The No Becoming Yes,,2019-09-15.mp3,,https://legacy.uugroton.org/Sermons/thenobecomingyes.html,
2019-06-02,Gone to the Fields to Be Lovely,,2019-06-02.mp3,,,
2019-05-19,The Place We Stand on the Days our Feet are Sore,,2019-05-19.mp3,,,
2019-05-12,"Kiss This Beautiful, Holy Ground",,2019-05-12.mp3,,,
2019-05-05,Perpetual Becoming (Marisa Benson),,2019-05-05-m-bens.mp3,,,
2019-04-28,,,,,,"Restoring a Cemetery in Bialystock (Josh &amp; Amy Degan) (<a href=""https://uugroton.github.io/sermons/2019-04-28-ja-degan.mp3"" rel=""noopener"" target=""_blank"">audio</a>; <a href=""http://bialystokcemeteryrestoration.org"">Bialystok Cenetery Restoration</a>)"
2019-04-21,The Doors of Hope,,2019-04-21.mp3,,,
2019-04-14,Living at the Edge of Our Imaginations,,2019-04-14.mp3,,https://legacy.uugroton.org/Sermons/livingattheedgeofourimaginations.html,
2019-03-24,Radical Hospitality: Notes for Living on Planet Earth,,2019-03-24.mp3,zk--XN4ozr8,https://legacy.uugroton.org/Sermons/radicalhospitality.html,
2019-03-17,Larger Worlds Than We Can Imagine,,2019-03-17.mp3,,,
2019-03-10,"Loaves, Fishes, and My Grandmother’s Cookies",,2019-03-10.mp3,,,
2019-03-03,Loved into Being ([partial — missing the last 1–2 min.]),,2019-03-03.mp3,,https://legacy.uugroton.org/Sermons/lovedintobeing.html,
2019-02-24,The Fibrillating Heart of the World,,2019-02-24.mp3,,https://legacy.uugroton.org/Sermons/thefibrillatingheartoftheworld.html,
2019-02-17,UU Faith (Jane Thickstun),,2019-02-17-j-thickstun.mp3,,,
2019-02-10,"The Kindness Which Sustains This Beautiful, Aching World",,2019-02-10.mp3,,,
2019-02-03,Faithful to Living,,2019-02-03.mp3,,,
2019-01-13,Flesh and Blood and Bone and Spirit,,2019-01-13.mp3,,https://legacy.uugroton.org/Sermons/thebodysgrace.html,
2019-01-06,How to Give Yourself to This World,,2019-01-06.mp3,,,
2018-12-24,"The Beautiful, Aching Work of Repair",,2018-12-24.mp3,,https://legacy.uugroton.org/Sermons/thebeautifulachingworkofrepair.html,
2018-12-16,The Joy that Finds Us So Ready and So Unprepared,,2018-12-16.mp3,,,
2018-12-09,Shall We Cross Over?,,2018-12-09.mp3,,,
2018-12-02,Blessing the Way,,2018-12-02.mp3,,https://legacy.uugroton.org/Sermons/blessingtheway.html,
2018-11-25,Coming Home to Ourselves (Marisa Benson),,2018-11-25.mp3,,,
2018-11-11,Carbonated Holiness: How Stories and Laughter Save Us Over and Over Again,,2018-11-11.mp3,,,
2018-10-28,,,,,,"Reflections (<a href=""https://uugroton.github.io/sermons/2018-10-28-s-liem.mp3"" rel=""noopener"" target=""_blank"">Steve Lieman</a> — <a href=""https://uugroton.github.io/sermons/2018-10-28-l-giro.mp3"" rel=""noopener"" target=""_blank"">Lisa Girolamo</a>)"
2018-10-21,Silver Linings (Matthew Dicks),,2018-10-21.mp3,,,
2018-10-14,The Mightiest Word,,2018-10-14.mp3,,,
2018-10-07,Inside the Quiet Places of Your Heart,,2018-10-07.mp3,,,
2018-09-30,Always Hope,,2018-09-30.mp3,,,
